sampleid,Temperature,alpha,rho,kappa,sigma,ZT_tep_reevaluated,autoTcTh_buffer_dT,is_Temp_in_autoTcTh_range,ZT_author_declared,is_Temp_in_ZT_author_declared,autoTc,autoTh,dbname,version,versionlabel,update,pykeri_compatible,interpolation_method,extrapolation_method
1.0,299.575404133415,6.25495706905333e-05,4.005548840245578e-06,3.061504379542436,249653.67790614447,0.09557799235978409,0.0,True,0.09858116136294523,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,321.156895846122,7.462958415193179e-05,4.5303211319078314e-06,2.8426259471878543,220734.90396891025,0.13889627250080383,0.0,True,0.14271930089831691,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,345.136331082463,8.457783053190699e-05,5.319569791987133e-06,2.6377430801588284,187985.12644881543,0.17595222241385358,0.0,True,0.1797503801301732,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,370.714395334561,9.973706311091691e-05,6.00547956770235e-06,2.4281029312737625,166514.59533357338,0.2528935861771911,0.0,True,0.25773964513710906,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,395.093487824841,0.000111817076572315,7.164085673004975e-06,2.2789671027251885,139585.15372981993,0.3025640408087686,0.0,True,0.31158668099339154,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,418.673265807243,0.000129344939241795,7.976841748634162e-06,2.1033036429804577,125362.89818852498,0.4174852749121498,0.0,True,0.4172445665838225,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,445.050644567219,0.000144977897838899,9.715212930878896e-06,1.9247003892160142,102931.35179997892,0.5002620669145332,0.0,True,0.506736644437815,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,471.428023327194,0.000161321445463144,1.08721707243072e-05,1.7709833165129356,91977.95227445,0.6371898819133283,0.0,True,0.6464106180285344,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,495.007801309597,0.000177664993087389,1.2961908693098015e-05,1.6436035030704497,77149.13163463975,0.7334149426379519,0.0,True,0.7340665366070788,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,520.585865561694,0.00018856069150355298,1.443413328459803e-05,1.5300381500825506,69280.22488659239,0.8381113573107132,0.0,True,0.844099638184087,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,544.565300798035,0.000207272869218268,1.6885451243533796e-05,1.4359157768632638,59222.58076359939,0.9649243036567069,0.0,True,0.9692763165304897,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,570.543022304072,0.000212246992408256,1.871406727945649e-05,1.3425040541294784,53435.73821056835,1.023028413172369,0.0,True,1.0354987246062475,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,594.122800286474,0.00023261721118630001,2.162759533507525e-05,1.2669299575855992,46237.22538299105,1.173272977457177,0.0,True,1.183557321748289,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,620.100521792511,0.00023545956729486498,2.3750187746412554e-05,1.199799508776844,42104.93031370032,1.2064770167440106,0.0,True,1.2297217213115526,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,643.280642520974,0.000248960758810545,2.626222392220611e-05,1.1407412545285465,38077.506419951234,1.3308945081226777,0.0,True,1.3376836170297615,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,668.459049519132,0.000253934882000533,2.8369710997048775e-05,1.0900728923518295,35248.86101603317,1.3938276644059082,0.0,True,1.4136322700973647,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
1.0,692.438484755474,0.00026909411457954295,3.1655381753365906e-05,1.0453861622290628,31590.205033419643,1.5151837137685864,0.0,True,1.5315821411008859,True,299.575404133415,823.294406883835,tematdb,v1.1.0,tematdb_v1.1.0_TEPatTsOfAlphas_convertedOn_20230810_204741__range_1_to_424,2023-08-10 20:49:08.756757,True,piecewise_liniear,constant
