sampleid,doi,doilink,TF_mat_complete,L1,L2,L3,L4,Linf,errMax,errMin,Tc_Ts_TEP,Tc_Ts_ZT,Tc_Ts_TEPZT,Th_Ts_TEP,Th_Ts_ZT,Th_Ts_TEPZT,avgZ_raw_on_Ts_ZT,avgZ_TEP_on_Ts_TEP,peakZ_raw_on_Ts_ZT,peakZ_TEP_on_Ts_TEP,davgZ,dpeakZ,avgZT_raw_on_Ts_ZT,avgZT_TEP_on_Ts_TEP,peakZT_raw_on_Ts_ZT,peakZT_TEP_on_Ts_TEP,davgZT,dpeakZT,Linf_over_avgZT,Linf_over_peakZT
1,10.1038/NCHEM.955,https://doi.org/10.1038/NCHEM.955,True,1.9985918178842174e-05,2.1839272425311763e-05,2.3532255626074183e-05,2.5122957812218825e-05,4.442168317493524e-05,4.442168317493524e-05,-7.140370905710323e-07,299.0,298.0,299.0,824.0,863.0,824.0,0.0016085567256677912,0.0015618700698649811,0.0022113724358036276,0.0021880655360565337,4.668665580281005e-05,2.330689974709395e-05,1.0238369633191802,0.9641954892629696,1.7013629470182425,1.6686115918277915,0.059641474056210564,0.032751355190451026,4.607124143350966e-05,2.6621943292552513e-05
2,10.1038/nature11439,https://doi.org/10.1038/nature11439,True,-3.990836732374733e-05,6.45687224912532e-05,-8.266666215752305e-05,9.7370814352575e-05,0.00019426380133996928,2.77290138448441e-05,-0.00019426380133996928,302.0,301.0,302.0,916.0,914.0,914.0,0.0017946598787027166,0.0018393781433684228,0.0025475008575330223,0.0026694457491402202,-4.471826466570625e-05,-0.00012194489160719793,1.2059856491554848,1.2423036529164637,2.21339491916859,2.3610557028241828,-0.036318003760978934,-0.14766078365559254,0.000156373846992972,8.227836433829162e-05
3,10.1038/nature06458,https://doi.org/10.1038/nature06458,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.1038/ncomms9144,https://doi.org/10.1038/ncomms9144,True,2.198735845859822e-05,2.397009766706933e-05,2.4966569561766983e-05,2.570382531072836e-05,3.677970457133706e-05,3.677970457133706e-05,-5.1633013900965596e-06,300.0,300.0,300.0,1200.0,1200.0,1200.0,0.001122859163841916,0.0011008718053833178,0.0012555684210526317,0.0012422637156760232,2.1987358458598312e-05,1.3304705376608475e-05,0.8802722652608214,0.8653276399326807,1.46208,1.4538872323118759,0.01494462532814067,0.008192767688124158,4.250379032639982e-05,2.5297494712057132e-05
5,10.1002/aenm.201200970,https://doi.org/10.1002/aenm.201200970,True,-1.2095693132909967e-05,3.074439024415617e-05,-2.3167922854318815e-05,4.1531172585668155e-05,7.945596715267953e-05,7.945596715267953e-05,-7.791326382395767e-05,329.0,379.0,379.0,714.0,715.0,714.0,0.0025365013737428466,0.002332820340443879,0.0034652570491153804,0.003484738761541946,0.00020368103329896758,-1.948171242656567e-05,1.4621063947435906,1.3180431787407083,2.2965,2.3063505835931126,0.1440632160028823,-0.009850583593112638,6.028328087748519e-05,3.4450949356057306e-05
6,10.1002/adma.201501030,https://doi.org/10.1002/adma.201501030,True,-6.7537065046607044e-06,2.074750376495174e-05,-1.7509176077567773e-05,2.507234063519989e-05,5.081595141376641e-05,3.343837603466738e-05,-5.081595141376641e-05,298.0,299.0,299.0,998.0,1001.0,998.0,0.0009351289538904636,0.0009359215532084622,0.00208999000999001,0.0021329342939926366,-7.925993179985508e-07,-4.294428400262659e-05,0.7296752809856324,0.725414299298554,2.09208,2.1286684254046513,0.004260981687078336,-0.036588425404651126,7.00509370478406e-05,2.387217793400891e-05
7,10.1126/science.1159725,https://doi.org/10.1126/science.1159725,True,1.1228088916614536e-05,4.3776655413396857e-05,4.5093850966249035e-05,5.5014738289928344e-05,9.343621688668127e-05,9.343621688668127e-05,-5.705350815053185e-05,296.0,300.0,300.0,765.0,771.0,765.0,0.001392125333808109,0.0013650282774566808,0.0019961959574225133,0.001981805131790268,2.7097056351428096e-05,1.4390825632245273e-05,0.8185884929168264,0.7932797661304917,1.51142,1.464097922499613,0.02530872678633478,0.04732207750038708,0.00011778469699592885,6.38182839076503e-05
8,10.1126/science.1092963,https://doi.org/10.1126/science.1092963,True,-4.801976239506148e-05,6.656470270014668e-05,-7.418761262054381e-05,8.645416946991637e-05,0.00019618693031742216,9.404814294440914e-05,-0.00019618693031742216,321.0,300.0,321.0,773.0,799.0,773.0,0.00229164863407597,0.0023532046799255705,0.002647534418022528,0.0026589944771115283,-6.155604584960053e-05,-1.1460059089000215e-05,1.297575843617642,1.3178984961346187,2.11538,2.0042012657217683,-0.020322652516976625,0.11117873427823177,0.00014886346019275096,9.78878387479562e-05
9,10.1038/am.2013.86,https://doi.org/10.1038/am.2013.86,True,1.8277189682347687e-05,3.386869843829416e-05,3.360466983826118e-05,4.087996829965785e-05,6.9930153282609e-05,6.9930153282609e-05,-6.515502330931792e-05,297.0,297.0,297.0,480.0,469.0,469.0,0.0031417239827198082,0.0030584842620835434,0.003682087542087542,0.003685469582627426,8.323972063626478e-05,-3.3820405398840743e-06,1.1806548681488591,1.1607322765744166,1.2546567981900452,1.2687725684417208,0.01992259157444254,-0.014115770251675652,6.024658286318073e-05,5.511638178660791e-05
10,10.1039/c5ee02979a,https://doi.org/10.1039/c5ee02979a,True,3.897147550572996e-05,4.486006296256734e-05,4.8887814618742424e-05,5.1838310303215835e-05,8.259098842272909e-05,8.259098842272909e-05,-3.3943130068370716e-06,306.0,304.0,306.0,900.0,902.0,900.0,0.0015812217103631956,0.0015458166364555749,0.0021949943731752524,0.002183510374798782,3.5405073907620764e-05,1.1483998376470538e-05,1.0479563311905493,1.0241113038912146,1.7515932140950348,1.7295048643923696,0.023845027299334687,0.022088349702665155,8.064649624402764e-05,4.7754123230954857e-05
