sampleid,doi,doilink,TF_mat_complete,relerr_mean,relerr_L1,relerr_L2,relerr_L3,relerr_L4,relerr_Linf,relerr_Max,relerr_Min,Tc_Ts_TEP,Tc_Ts_ZT,Tc_Ts_TEPZT,Th_Ts_TEP,Th_Ts_ZT,Th_Ts_TEPZT,avgZ_raw_on_Ts_ZT,avgZ_TEP_on_Ts_TEP,peakZ_raw_on_Ts_ZT,peakZ_TEP_on_Ts_TEP,davgZ,dpeakZ,avgZT_raw_on_Ts_ZT,avgZT_TEP_on_Ts_TEP,peakZT_raw_on_Ts_ZT,peakZT_TEP_on_Ts_TEP,davgZT,dpeakZT
1,10.1038/NCHEM.955,https://doi.org/10.1038/NCHEM.955,True,0.014923308466682633,0.014928255914777217,0.01705300209744949,0.019073920726489602,0.020920805111046135,0.041137596333481616,0.041137596333481616,-0.0007081537096231882,299.0,298.0,299.0,824.0,863.0,824.0,0.0016085567256677912,0.0015618700698649811,0.0022113724358036276,0.0021880655360565337,4.668665580281005e-05,2.330689974709395e-05,1.0238369633191802,0.9641954892629696,1.7013629470182425,1.6686115918277915,0.059641474056210564,0.032751355190451026
2,10.1038/nature11439,https://doi.org/10.1038/nature11439,True,-0.015209094501749133,0.022174915447090895,0.02881381934840801,0.034414469213706105,0.03890100070292688,0.07278052365938957,0.05286307681568306,-0.07278052365938957,302.0,301.0,302.0,916.0,914.0,914.0,0.0017946598787027166,0.0018393781433684228,0.0025475008575330223,0.0026694457491402202,-4.471826466570625e-05,-0.00012194489160719793,1.2059856491554848,1.2423036529164637,2.21339491916859,2.3610557028241828,-0.036318003760978934,-0.14766078365559254
3,10.1038/nature06458,https://doi.org/10.1038/nature06458,False,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.1038/ncomms9144,https://doi.org/10.1038/ncomms9144,True,0.021090201274508134,0.02131636093341958,0.023476005431991468,0.024936566445298902,0.026123068766605303,0.04283555648546946,0.04283555648546946,-0.004176377026253288,300.0,300.0,300.0,1200.0,1200.0,1200.0,0.001122859163841916,0.0011008718053833178,0.0012555684210526317,0.0012422637156760232,2.1987358458598312e-05,1.3304705376608475e-05,0.8802722652608214,0.8653276399326807,1.46208,1.4538872323118759,0.01494462532814067,0.008192767688124158
5,10.1002/aenm.201200970,https://doi.org/10.1002/aenm.201200970,True,-0.0038729990935810234,0.011556652845322682,0.018286189855369395,0.02469644512086246,0.030156595986928082,0.06960870096872092,0.06960870096872092,-0.03501627353409056,329.0,379.0,379.0,714.0,715.0,714.0,0.0025365013737428466,0.002332820340443879,0.0034652570491153804,0.003484738761541946,0.00020368103329896758,-1.948171242656567e-05,1.4621063947435906,1.3180431787407083,2.2965,2.3063505835931126,0.1440632160028823,-0.009850583593112638
6,10.1002/adma.201501030,https://doi.org/10.1002/adma.201501030,True,-0.02111505001175775,0.027666737731213413,0.03820933280079791,0.04592927129525501,0.05151579350912798,0.09454363533687084,0.02014051336385402,-0.09454363533687084,298.0,299.0,299.0,998.0,1001.0,998.0,0.0009351289538904636,0.0009359215532084622,0.00208999000999001,0.0021329342939926366,-7.925993179985508e-07,-4.294428400262659e-05,0.7296752809856324,0.725414299298554,2.09208,2.1286684254046513,0.004260981687078336,-0.036588425404651126
7,10.1126/science.1159725,https://doi.org/10.1126/science.1159725,True,-0.005972238688212466,0.03241997766342367,0.04221105058046255,0.05097244275559525,0.058810867488020245,0.14804371655690454,0.051723552199424726,-0.14804371655690454,296.0,300.0,300.0,765.0,771.0,765.0,0.001392125333808109,0.0013650282774566808,0.0019961959574225133,0.001981805131790268,2.7097056351428096e-05,1.4390825632245273e-05,0.8185884929168264,0.7932797661304917,1.51142,1.464097922499613,0.02530872678633478,0.04732207750038708
8,10.1126/science.1092963,https://doi.org/10.1126/science.1092963,True,-0.02010431239999026,0.023512164183797955,0.027768744519080818,0.031437405170980585,0.034767501726012756,0.07378237600949843,0.04303627521762318,-0.07378237600949843,321.0,300.0,321.0,773.0,799.0,773.0,0.00229164863407597,0.0023532046799255705,0.002647534418022528,0.0026589944771115283,-6.155604584960053e-05,-1.1460059089000215e-05,1.297575843617642,1.3178984961346187,2.11538,2.0042012657217683,-0.020322652516976625,0.11117873427823177
9,10.1038/am.2013.86,https://doi.org/10.1038/am.2013.86,True,0.00673640358117791,0.009671568814753203,0.011904041183590805,0.013595618268470794,0.014970311618406855,0.028676950178607812,0.028676950178607812,-0.017782550680481967,297.0,297.0,297.0,480.0,469.0,469.0,0.0031417239827198082,0.0030584842620835434,0.003682087542087542,0.003685469582627426,8.323972063626478e-05,-3.3820405398840743e-06,1.1806548681488591,1.1607322765744166,1.2546567981900452,1.2687725684417208,0.01992259157444254,-0.014115770251675652
10,10.1039/c5ee02979a,https://doi.org/10.1039/c5ee02979a,True,0.026175850342698554,0.026335396237444415,0.029640831500815285,0.03216272119219581,0.03420512125188218,0.05445929410248981,0.05445929410248981,-0.010199886342872473,306.0,304.0,306.0,900.0,902.0,900.0,0.0015812217103631956,0.0015458166364555749,0.0021949943731752524,0.002183510374798782,3.5405073907620764e-05,1.1483998376470538e-05,1.0479563311905493,1.0241113038912146,1.7515932140950348,1.7295048643923696,0.023845027299334687,0.022088349702665155
